	acc model caption	acc human caption	is_video	model caption	human caption	img_set	target_idx	acc annot on model	acc annot on human
587	0	1	1	A picture of a dog playing with a raccoon.	The cartoon raccoon is covering up most of the yellow box on the table. 	MSR-VTT-videoTestVideo_video9903-shot1_3	6	0	0
588	0	0	1	A picture of a dog on a motorbike.	There is a small green spherical object near the right side of the raccoon on the table.  You can see the entire green ball. 	MSR-VTT-videoTestVideo_video9903-shot1_3	7	0	1
592	1	1	1	A woman sitting in front of a television screen.	A close up of a single woman with brown hair.	MSR-VTT-videoTestVideo_video7698-shot1_0	8	1	1
593	0	1	1	A small child sitting in front of a television.	Two girls in the frame. The one with black hair has her hand covering her face. 	MSR-VTT-videoTestVideo_video7698-shot1_0	9	0	1
594	0	0	1	A person is mixing chocolate and marshmallows in a bowl.	The person's right hand holds the spatula flat towards the viewer. Their thumb and index fingers are visible.	YouCook-video0097-shot21_0	0	1	1
598	0	0	1	A bowl full of food on a table.	The spoon is in the bowl and scooped up an egg yolk. The sausage piece is lifted up slightly but the spoon isn't lifted out of the bowl yet. A hand is pinching the edge of the bowl.	MSR-VTT-videoTestVideo_video9631-shot1_2	5	0	1
600	0	1	1	A woman standing next to a railing near a fence.	The woman has the biggest smile showing both the top and bottom of her teeth. 	MSR-VTT-videoTestVideo_video8053-shot1_0	1	1	1
604	0	0	1	A boy standing next to a plate of food on a table.	In the top left corner one letter is entirely visible, the next is almost entirely visible, and the third is covered at the top and bottom.	video-storytelling-videobirthday__amwPjAcoC8-shot39_3	4	0	0
605	0	0	1	A boy is reading a book on a table.	The boy's right forearm is not seen, but the inside of his right elbow is on the left.	video-storytelling-videobirthday__amwPjAcoC8-shot39_3	5	0	1
606	0	0	1	A little boy is using a cell phone on a table.	The blurry arm is closer to the bottom left side of the picture. The blurry hand is partially cut off at the left bottom. 	video-storytelling-videobirthday__amwPjAcoC8-shot39_3	6	0	1
607	0	0	1	A black and white photo of a woman and a raccoon.	A person is in the foreground of a blurry black and white image in the bottom right corner	MSR-VTT-videoTestVideo_video7622-shot4_0	1	0	1
611	0	0	1	A group of people walking down a crowded street.	There is a slight image overly.  The running man has his left elbow at the hip of the man with the stripe sweater.	MSR-VTT-videoTestVideo_video7256-shot0_0	6	0	0
614	1	0	1	A person jumping into the air to catch a ball.	The ball is in the air near the blue player on the white team.	MSR-VTT-videoTestVideo_video8465-shot1_2	2	0	1
616	1	0	1	A blurry image of a person holding a kite in the water.	There are small cat ears on top of the oval and there are red and blue colors outside of the oval.	MSR-VTT-videoTestVideo_video9005-shot1_3	4	0	0
621	0	0	1	A person is standing in front of a bus.	The boy with the red hat is off the bus with both feet down on the ground. His face is still pretty much in shadow. 	MSR-VTT-videoTestVideo_video9709-shot1_5	7	0	0
623	1	0	1	A woman with a hat on her head and a hat on her head.	You can start to see the fingers on the woman's left hand who has glasses on.  You can't see her right arm at all. 	MSR-VTT-videoTestVideo_video8115-shot1_0	3	0	1
625	1	0	1	A woman standing next to a black dog.	The woman with white hair is looking over to the right slightly. Her elbow is almost touching the bottom right corner.	MSR-VTT-videoTestVideo_video8115-shot1_0	5	0	0
628	0	1	1	A dog that is standing in front of a fence.	The alpaca nose is pointing straight up and located just under the highest leaf without touching it.  The alpaca mouth is closed.	MSR-VTT-videoTestVideo_video7295-shot1_4	5	0	0
630	0	0	1	A man that is standing in front of a wall.	Man is looking to left, no hands can be seen, and upper and lower teeth can be seen.	MSR-VTT-videoTestVideo_video8721-shot1_0	2	0	1
631	1	0	1	A man standing in front of a wall.	Man is looking to his left with his hand below his chin at the top of his shirt with only his pointer finger and tip of his thumb showing.	MSR-VTT-videoTestVideo_video8721-shot1_0	3	0	0
635	1	0	1	A picture of a frisbee in the grass.	No people are visible, and the blue ball is close to the edge of the right side of the image	MSR-VTT-videoTestVideo_video9169-shot2_0	0	0	0
636	1	0	1	A blue ball that is in a grassy area.	Only a blue blurred ball is center right 	MSR-VTT-videoTestVideo_video9169-shot2_0	1	1	1
638	0	0	1	A room with a lot of wooden boards on the floor.	The corner of the wall is on the left and covering a quarter of the screen, the bottom is lighted. 	MSR-VTT-videoTestVideo_video7871-shot1_1	6	0	0
641	0	0	1	A dog standing on top of a body of water.	The dog is looking to the right.  It's head is perked up and is much higher than the rest of its body.  The head of the dog is covering a lot of the shining reflection in the water. 	video-storytelling-videocamping_dBXYM3dQTSo-shot42_0	5	0	0
642	1	0	1	A young child is holding a video game controller.	The girl's face is blurry with her hair covering the right side. Her face is looking up.	MSR-VTT-videoTestVideo_video8058-shot1_0	5	0	1
643	1	0	1	A woman standing in a room holding a video game controller.	The right side of the child's face is cut off on the left side of the image.  Her eyes are closed but you could seen both eyes if she had them open.  Her mouth appears slightly open.  Her left hand is just starting to come off of the blanket she has on top of her. 	MSR-VTT-videoTestVideo_video8058-shot1_0	7	1	1
644	1	0	1	A person is cutting a piece of plastic with scissors.	The person is moving the object in the egg away from the camera. The fingers on the right hand appear to be just barely touching the object. 	MSR-VTT-videoTestVideo_video9759-shot1_0	7	0	0
646	1	0	1	A person is holding a pair of scissors in their hands.	The plastic egg is open and the two sides are furthest away from each other.	MSR-VTT-videoTestVideo_video9759-shot1_0	9	1	1
651	1	0	1	A plate filled with food on a table.	Only one green stripe on the salt shaker behind the plated food can be seen. 	video-storytelling-videobirthday_fwpYnUDbusw-shot17_0	2	0	1
656	1	0	1	A man with a knife cutting a sandwich on a plate.	The man is looking up at the camera with his eyes somewhat squinted.  His mouth is totally closed and only one hand is seen at the bottom. 	MSR-VTT-videoTestVideo_video7988-shot1_2	0	0	0
663	0	0	1	A person is holding a doll that is holding a toy.	The dog's nose in the center appears to make contact with the side of the spout of the little teapot the person is bringing down.	MSR-VTT-videoTestVideo_video8604-shot1_0	3	0	0
664	1	0	1	A person is cooking a cake on a table.	A fin-like handle on the bowl is pointed to the bottom left corner. A blurry thumb is in the other corner.	YouCook-video0008-shot2_2	6	0	0
665	0	0	1	A person with a bowl of chocolate on top of a plate.	The person's left thumb and most of their left forefinger are visible, at top most part, some of their right hand seems to also be visible above the battered pan.	YouCook-video0008-shot2_2	7	0	0
667	1	0	1	A woman holding a small child's arm.	The man's face is not visible at all. The woman's mouth is fully visible.	MSR-VTT-videoTestVideo_video9926-shot1_2	2	0	1
669	0	1	1	A couple of people standing in front of a bedroom.	the person in the white shirt is facing directly to the left while the person jumping on the bed is facing directly to the right	video-storytelling-videobirthday_fwpYnUDbusw-shot66_0	1	0	1
673	0	0	1	A man standing in front of a group of people.	The man in black has his hand on the chest of the man in blue. His hand is below the green writing.	MSR-VTT-videoTestVideo_video8801-shot2_0	6	0	1
676	0	0	1	A woman standing in front of a brown bear.	The girl has her mouth slightly open and she is looking to the left.  She is holding a towel and a brown item.  Her eyes are completely visible. You can see only one thumb or finger.  	video-storytelling-videocamping_dBXYM3dQTSo-shot55_1	7	1	1
678	0	0	1	a close up of a person holding a cell phone.	You can see the back of a book but it is pretty blurry.  Both hands are still touching the book but only the right thumb is touching the back of the book. The hands are slightly blurry.  	MSR-VTT-videoTestVideo_video7657-shot2_0	5	0	0
681	1	0	1	A young boy standing in front of a Christmas tree.	The boy has fully opened the toy and is in the process of tossing the wrapping paper behind him, with some of the paper sticking out in front of him and some behind	video-storytelling-videochristmas_5RR_sRzKODA-shot20_12	1	0	1
686	1	0	1	A child is cutting a piece of fruit on a turntable.	Almost the entire knife is visible with only the top not seen on the far left.  The top edge of the blade is parallel to the top of the picture. 	MSR-VTT-videoTestVideo_video9749-shot1_3	5	0	0
688	0	0	1	A car driving down a busy street.	No stoplights or crosswalk signals are seen. There is a object on the left side of the road with an arrow on top of it that is right alongside the car in front. 	video-storytelling-videobirthday_fwpYnUDbusw-shot29_0	4	0	0
689	0	0	1	A person cutting a cake with a knife.	You can see the woman's bracelet clearly. The napkin is visible but does not cover any part of the woman's hands or arms. 	video-storytelling-videobirthday_fwpYnUDbusw-shot63_2	7	1	1
690	1	0	1	A bunch of hair on top of a bed.	"The ""x"" on the left side is clearly visible with just a tiny bit cut off, and just below the center line of the image."	MSR-VTT-videoTestVideo_video7128-shot1_1	2	0	0
692	0	0	1	A group of women standing next to each other on a beach.	A woman in a brown and purple stripped shirt is in the middle. Her left foot is lifted and there is something black covering just the bottom part of her left calf.	video-storytelling-videocamping_1OzbiB1TIWI-shot7_10	6	0	0
693	1	0	1	A woman standing next to a group of people.	Woman holding but has right shoulder kissing edge of right part of frame.	video-storytelling-videocamping_1OzbiB1TIWI-shot7_10	7	0	1
694	0	0	1	A toddler sitting on top of a table with a teddy bear.	the kid with the green hat's hat and hand are visible in the bottom left corner	video-storytelling-videobirthday__amwPjAcoC8-shot14_0	0	0	0
696	1	0	1	A young boy standing next to a table with balloons.	The boy in green is starting to block some of the dog's body.  The right ear on the hat is right next to the star on the dog's uniform. 	video-storytelling-videobirthday__amwPjAcoC8-shot14_0	2	1	1
697	1	1	1	A car that is parked next to a tree.	The very front of the white car is blocked by a tree	MSR-VTT-videoTestVideo_video7105-shot3_0	4	0	1
700	0	0	1	Two men standing next to each other in front of a television.	The wrestle's elbow is below the first rope.	MSR-VTT-videoTestVideo_video8310-shot1_5	3	0	1
701	0	0	1	A couple of men standing next to each other.	A camera flash to the left of the man in white trunks makes an x on the picture	MSR-VTT-videoTestVideo_video8310-shot1_5	4	1	1
703	1	0	1	A man standing next to a woman in a dress.	The woman has her back to the camera with her arm straight up and her head is blocking half of the man's face.	MSR-VTT-videoTestVideo_video9466-shot2_1	1	0	0
707	0	0	1	A person is holding a piece of pizza.	One full hand and 2 fingers from the other hand are fully visible 	MSR-VTT-videoTestVideo_video9687-shot2_0	4	0	0
717	0	0	1	A man and a woman sitting next to each other on a table.	They are very close together with their heads close together.	MSR-VTT-videoTestVideo_video7578-shot1_0	6	1	1
718	0	0	1	A man standing next to a woman holding a bottle of water.	The woman is bent back with a laugh. Her bracelet is by the blue cap of the water bottle at the end of the table.	MSR-VTT-videoTestVideo_video7578-shot1_0	7	0	0
721	0	0	1	a close up of a man with headphones on.	His mouth is open wide but only his top teeth are showing.	MSR-VTT-videoTestVideo_video9484-shot2_0	1	1	1
723	1	0	1	A person jumping up and down in the air.	The person is in a flip. The position of the body looks like he is hanging upside down with arms together. 	MSR-VTT-videoTestVideo_video9623-shot1_2	3	0	0
724	1	0	1	A photo of a person on a broom handle.	A woman is tumbling through the air, her face is facing upwards. Her knees are pulled up close to her chest. Her torso is tilted slightly backwards.	MSR-VTT-videoTestVideo_video9623-shot1_2	4	0	0
725	1	0	1	A bunch of bananas hanging from a row of bananas.	The very tip of the snake's nose is not visible. 	MSR-VTT-videoTestVideo_video8040-shot1_1	2	0	1
726	0	0	1	A row of bananas on top of each other.	The entire snake's head is completely visible and at the very top of the picture. 	MSR-VTT-videoTestVideo_video8040-shot1_1	3	0	1
728	0	0	1	A man and a woman standing next to each other on a wedding cake.	The guy is touching the woman's hand with only his right hand.	video-storytelling-videowedding_Bp8t824h5NE-shot65_0	8	0	1
730	0	1	1	A bag that is sitting on top of a plastic bag.	A metal object appears and is touching the left side of the bag of white powder. 	video-storytelling-videocamping_EytINruY3-U-shot42_0	1	1	1
732	0	0	1	A person holding a bag on top of a plastic bag.	A hand has an index finger inside the bag and a middle finger outside the bag. The toothbrush is touching the ziplock part of the bag.	video-storytelling-videocamping_EytINruY3-U-shot42_0	3	1	0
733	1	0	1	A close up of a car that is parked on the side of a road.	The engine part being held by the person is fully visible. There is only a sliver of skin seen to the right of the person's left gloved hand.	MSR-VTT-videoTestVideo_video7820-shot1_1	3	0	0
735	0	0	1	A man wearing a hat and sunglasses walks down the street.	The man looks like he is smiling at the camera with teeth together.  His left hand is off the right side of the image.	MSR-VTT-videoTestVideo_video8195-shot0_1	8	0	1
738	1	1	1	A couple of women sitting on a bed next to each other.	The woman has three fingers on her wrist while her pinky finger is just barely touching it.  The image is pretty clear and not blurry. 	MSR-VTT-videoTestVideo_video9550-shot1_0	8	0	1
739	0	0	1	A woman holding a cell phone in her hand.	The woman has four fingers on her wrist.  The thumb is also touching farther up the arm.  The image is pretty clear with very little blur. 	MSR-VTT-videoTestVideo_video9550-shot1_0	9	0	1
743	0	0	1	A person cutting a pair of scissors with a pair of scissors.	the peeler is just beginning to peel the cucumber, no white flesh has yet been exposed.	YouCook-video0034-shot14_1	0	0	1
746	0	1	1	A woman is standing in front of a computer monitor.	Woman has right finger pointed up with her head tilted to the right with mouth open	MSR-VTT-videoTestVideo_video9196-shot1_1	6	0	1
747	0	0	1	A picture of a woman with a placard on her head.	The woman has her finger in the air, but it is in line with the level of her mouth.	MSR-VTT-videoTestVideo_video9196-shot1_1	7	0	1
748	1	1	1	A close up of a woman with a sign on her head.	The woman's eyes are mostly closed. Her hands are not visible.	MSR-VTT-videoTestVideo_video9196-shot1_1	8	0	1
749	1	0	1	A group of people sitting on a bench talking on a cell phone.	The woman in grey pants is making a peace sign with her hand closest to the camera	video-storytelling-videocamping_1OzbiB1TIWI-shot12_6	1	0	0
752	0	0	1	A man standing next to a woman in a mirror.	The man in blue has his hand the nearest to his face in a claw shape.  He has a slight smile on his face. 	MSR-VTT-videoTestVideo_video8411-shot1_1	3	0	1
762	1	0	1	A woman is bending over to brush her hair.	The woman is looking down at her hands near her chest and her mouth is slightly open.  The right hand is higher than the left hand and her right thumb is near her neck. 	MSR-VTT-videoTestVideo_video7405-shot6_0	0	0	0
763	1	0	1	A woman walking on a beach with a pink frisbee.	The woman has both hands over her chest.  Her mouth is wide open and you can see her top teeth. 	MSR-VTT-videoTestVideo_video7405-shot6_0	1	0	1
768	0	0	1	A group of people standing in front of a building.	The text is fully lit up at the bottom of the image.  The man in the back who is closest to the camera has his left leg forward and the text is fully to his right. 	MSR-VTT-videoTestVideo_video8306-shot1_0	4	0	1
769	0	0	1	A group of people walking on a sidewalk next to a building.	The man in the green jacket is standing up straight. His body is blocking half of the person in red.	MSR-VTT-videoTestVideo_video8306-shot1_0	5	0	1
773	1	0	1	A person holding a bag of food in their hands.	The entire bar is inside the frame. The tips of the right thumb and forefinger are touching the bar.	MSR-VTT-videoTestVideo_video9556-shot3_3	5	0	1
774	0	0	1	A piece of bread sticking out of a piece of cake.	The white plate the cake is on is all the way to the left and there is no thumb.	YouCook-video0008-shot8_1	3	0	1
776	0	0	1	A person is cutting a piece of paper with scissors.	The person's right hand is over near their left.  The right pointer finger is pointing at the other hand. 	MSR-VTT-videoTestVideo_video9564-shot1_0	3	1	1
777	1	0	1	A person is cutting a piece of paper with scissors.	The right pointer finger is pointing off the bottom center of the picture.  The other hand is still holding the white paper. 	MSR-VTT-videoTestVideo_video9564-shot1_0	4	0	1
778	0	0	1	A person riding a car down the side of a road.	A yield sign to the right of the road is just about to pass off frame	MSR-VTT-videoTestVideo_video9806-shot1_2	5	0	0
781	0	0	1	A man standing next to a guitar in a room.	An overlay of the man singing is just beginning to appear on top of the image. In the overlaid image that man's mouth can not be clearly seen.	MSR-VTT-videoTestVideo_video8861-shot0_0	8	0	1
782	1	1	1	A man holding a guitar in front of a picture frame.	There is a strong overlaying picture of the person in white shirt's face over the picture with the two guys. 	MSR-VTT-videoTestVideo_video8861-shot0_0	9	0	1
783	1	1	1	A woman standing in front of a stage with a microphone in her hand.	2 faded images. Two men facing away are darkest but a girl's face is still very visible above them.	MSR-VTT-videoTestVideo_video9421-shot1_1	6	0	0
787	0	0	1	A little boy and a little girl standing next to a statue.	The boy is between the two girls.  Under his chin is the smaller girl's ear..	video-storytelling-videowedding_46xhFCXBMJs-shot60_0	9	0	0
797	0	0	1	A table with a bunch of video games on it.	there are 5 white clouds on tracks 	MSR-VTT-videoTestVideo_video8896-shot1_1	5	0	1
799	0	0	1	A group of video game boards on a boardwalk.	There are character icons over the minecarts. The green Luigi icon has stars around it.	MSR-VTT-videoTestVideo_video8896-shot1_1	7	0	1
801	1	0	1	A woman holding a bag in her hands.	A girl is starting to remove her hand from the bag and she is looking towards her arm. 	MSR-VTT-videoTestVideo_video8868-shot1_1	9	0	0
807	1	0	1	A picture of a couple of people in a room.	Most of the head of the person can be seen in the upper right corner.  The image is still very blurry. 	MSR-VTT-videoTestVideo_video8831-shot14_0	8	0	1
808	1	1	1	A person standing next to a dog in a car.	The lettering is on the back of a woman's head. There is little to no overlay/blurring.	MSR-VTT-videoTestVideo_video8831-shot14_0	9	1	0
815	1	0	1	A young boy wearing a colorful shirt and tie.	The child is looking at the camera, and some of his thumb and pointer finger are visible behind the product. 	video-storytelling-videochristmas_5RR_sRzKODA-shot23_5	5	0	0
816	0	0	1	A young boy holding a video game controller in his hand.	The girl is showing what she has in her hand to the camera.  Her face is also just starting to turn to the left hand side of the picture	video-storytelling-videochristmas_5RR_sRzKODA-shot23_5	6	0	0
817	1	0	1	A child holding a video game controller in his hand.	The girl is just starting to drop what she had in her hand and you can see that her fingers are not gripping the object. 	video-storytelling-videochristmas_5RR_sRzKODA-shot23_5	7	0	0
821	1	0	1	A patio with tables and chairs in front of a restaurant.	"The full word Lunch is visible, with the frame of the lunch sign flush with the right edge of the picture. On the left side, you can clearly see the ""SED"" of a closed sign."	video-storytelling-videocamping_dBXYM3dQTSo-shot78_0	8	1	1
826	0	0	1	A bowl of food sitting on top of a metal plate.	The sifter has been placed in the bowl and the person's hand is not visible. No other ingredients can be seen.	YouCook-video0008-shot1_1	1	0	1
827	0	0	1	A bowl filled with food on top of a plate.	Brown powder is starting to fall out of the bowl, but has not hit the white substance.	YouCook-video0008-shot1_1	2	0	1
828	1	0	1	A person cooking a bowl of food in a kitchen.	A small amount of brown powder is being poured into bowl that has hit bottom. 	YouCook-video0008-shot1_1	3	0	1
832	0	0	1	A couple of people walking in the snow on a sunny day.	You can't see any part of the person on the right's face.  You can barely see the left arm of the the same person and can't see the right arm at all. 	MSR-VTT-videoTestVideo_video9016-shot1_0	6	0	0
834	0	0	1	A woman standing in front of a plate of food.	A woman is standing behind a counter this a very neat array of ingredients, looking down 	YouCook-video0098-shot1_0	1	0	1
835	1	0	1	A woman in a chef's hat preparing food.	The woman is pouring the liquid into the pan, and is looking downward at the pan/pouring.	YouCook-video0098-shot1_0	2	0	1
838	0	0	1	A picture of a dog with a dog on top of it.	Most of the kid's left hand is visible, but the thumb and forefinger are blocked by his ear. The dog with the yellow hat is visible.	video-storytelling-videobirthday__amwPjAcoC8-shot73_4	3	0	1
841	1	0	1	A close up of a person wearing a shirt and pants.	You can't see any of the man's face, and there is no girl.	MSR-VTT-videoTestVideo_video8703-shot1_0	9	0	1
845	1	0	1	A blurry image of a person riding a bike.	No people are seen in the shot.  There is a bit of a blue chair on the far left and a black chair in the center. 	video-storytelling-videocamping_1OzbiB1TIWI-shot11_7	8	0	1
846	1	0	1	A blurry image of a person riding a skateboard.	A very blurry scene. There's a person's blue sleeve and part of the arm on the right, what appears to be a black chair with an idem in it, and possibly a white baseball cap in the left corner.	video-storytelling-videocamping_1OzbiB1TIWI-shot11_7	9	1	0
847	0	1	1	A man standing in front of a white couch.	he is facing away from the camera and his arms are up	MSR-VTT-videoTestVideo_video8700-shot3_2	2	0	1
848	0	0	1	A young man standing in front of a white bed.	his back is to us and his arms are out straight with his fingertips pointed up	MSR-VTT-videoTestVideo_video8700-shot3_2	3	0	0
849	1	1	1	A man standing in a room with a hat on.	A young man is standing as straight as possible with his hands in front of him most of his head and ear are not visable.	MSR-VTT-videoTestVideo_video8700-shot3_2	4	0	0
851	1	0	1	A close up of a railing that has a light on it.	The white shape is straight with purple at the top, it's arms are bent out to the side.	MSR-VTT-videoTestVideo_video9274-shot2_0	4	0	1
852	1	0	1	A group of people that are standing in the water.	The Bryan De Silva is least visible before it transitions to a different text.	MSR-VTT-videoTestVideo_video8831-shot4_0	3	0	1
853	0	0	1	A room full of people with chairs in front of them.	Woman in the pink outfit can seen entirely in the curve of the arm of the man with the blond hair.	MSR-VTT-videoTestVideo_video7476-shot1_6	4	0	1
854	1	0	1	A person is jumping on a skateboard in a box.	the girl in the back is walking towards left, the girl in the front has just passed her also walking to the left	MSR-VTT-videoTestVideo_video7476-shot1_6	6	0	1
855	0	0	1	A group of people standing in front of a television.	It's difficult to see the two players sitting on the bench due to the fading away.	MSR-VTT-videoTestVideo_video9469-shot0_3	6	0	0
856	0	0	1	A group of men standing on a football field.	There is a man just to the left of the person that has the long yellow jacket on whose hands are not blocking any of his own face.  	MSR-VTT-videoTestVideo_video9469-shot0_3	8	0	1
857	0	0	1	A close up of a toy car on a snow covered floor.	A hand appears from the right with a silver ornament in it.	MSR-VTT-videoTestVideo_video8108-shot1_2	2	0	1
863	1	0	1	A woman holding a bouquet of flowers on a sidewalk.	You can now see the entire car on the road behind the sign.  The woman looks like she is smiling at the camera.  The inside of the last letter on top of the sign is lit in sun.  	MSR-VTT-videoTestVideo_video7827-shot1_0	5	0	1
865	0	0	1	A man is posing for a picture in a park.	The overlay has just ended and the shot is of a boy on something in the woods. His face is still all in shadow. 	MSR-VTT-videoTestVideo_video7174-shot1_0	5	0	0
872	1	1	1	A man sitting on a chair in front of a table.	Two men facing each other.	MSR-VTT-videoTestVideo_video8917-shot1_0	6	1	1
873	1	0	1	A woman standing in front of a fire hydrant.	Her right eye is barely visible, the edge cuts right through it.	video-storytelling-videocamping_dBXYM3dQTSo-shot55_3	1	0	1
876	0	0	1	A woman is standing in front of a television.	The woman looks directly forward with narrowed eyes and a slightly open mouth	MSR-VTT-videoTestVideo_video8454-shot1_2	3	0	0
879	0	0	1	A woman holding a cell phone in her hand.	You can barely see the bottom of a woman's nose in the top left quadrant of the image.	MSR-VTT-videoTestVideo_video8947-shot0_0	5	0	1
883	0	0	1	a close up of a person holding a hot dog.	The spoon is in the picture completely upside down. 	MSR-VTT-videoTestVideo_video7321-shot1_4	1	0	1
887	0	0	1	A man is standing in front of a computer screen.	The man is facing the camera with his eyes closed and hands together.	MSR-VTT-videoTestVideo_video8216-shot1_0	8	0	1
888	1	0	1	A person holding a bowl of food in front of a frying pan.	Only one hand is visible inside the bowl	MSR-VTT-videoTestVideo_video7165-shot1_0	3	0	1
889	0	0	1	A person holding a bowl of food on top of a plate.	One hand is touching the cheese and the other has two fingers above the cheese.	MSR-VTT-videoTestVideo_video7165-shot1_0	4	0	0
899	0	0	1	a close up of some kind of food in a container.	the mixing spoon is left center in the bowl	YouCook-video0036-shot11_0	7	0	0
901	0	0	1	A picture of a colorful blanket sitting on top of a wall.	The red camera has appeared in the shot and is blocking a lot of the white text. No splashes of color are seen around the text. 	MSR-VTT-videoTestVideo_video8534-shot2_0	1	0	0
902	1	1	1	A picture of a colorful sign hanging on the side of a road.	The image of the camera is blocking the middle of the middle word. The words are flat with only a small amount of shading.	MSR-VTT-videoTestVideo_video8534-shot2_0	2	0	1
903	1	1	1	A person standing in front of a microphone.	A second person on the right side of the image has just appeared.  You can see the right side of his face and it cuts off right down the middle of his face. 	MSR-VTT-videoTestVideo_video9519-shot4_1	3	0	1
904	0	0	1	A close up of a person standing in a grassy area.	A second person is seen on the right side of the image.  You can see one eye and his entire mouth which is open.  The singer on the left is looking down and is pretty blurry. 	MSR-VTT-videoTestVideo_video9519-shot4_1	4	0	1
905	0	0	1	A man that is standing in front of a microphone.	The singer has the mic away from his mouth a bit. His mouth is open with teeth clench. The image is quite clear.	MSR-VTT-videoTestVideo_video9519-shot4_1	5	1	1
907	0	1	1	A woman holding a frisbee in front of a crowd.	The far left side of the woman's head in the foreground on the left has just disappeared off the left side of the image. 	MSR-VTT-videoTestVideo_video8476-shot1_4	6	0	1
909	1	1	1	A woman standing in front of a crowd of people.	In the bottom right corner, a person in red is hugging a person in gray.  The person in blue is not visible.	MSR-VTT-videoTestVideo_video8476-shot1_4	8	0	1
911	0	0	1	A plate of food on top of a plate.	The custard is cut into quarters. There seems to be another image overlaid on the top, like a transition scene, but it's hard to tell what it is. It looks like the edge of a dish is shown in the upper left quarter. No cutting instrument is visible.	MSR-VTT-videoTestVideo_video7406-shot1_2	9	1	1
912	0	0	1	A man and a woman standing next to each other.	Both the bride and groom are smiling and looking to their left	video-storytelling-videowedding_Bp8t824h5NE-shot69_1	6	0	0
913	1	1	1	A bride and groom getting married at a wedding.	The bride and groom are looking at the man in the black suit, the bride is smiling while her arms are extended in front of her.	video-storytelling-videowedding_Bp8t824h5NE-shot69_1	7	0	1
914	1	0	1	A man and a woman standing next to a bouquet of flowers.	the bride and groom are not touching and you can only see the black sleeve and a paper in the hand of the guy behind him	video-storytelling-videowedding_Bp8t824h5NE-shot69_1	8	0	1
915	1	0	1	A man standing in front of a fence with a banana on his head.	her arm is up and the visible half of her face shows an open mouth and part of her eye	MSR-VTT-videoTestVideo_video8630-shot1_3	3	0	0
916	1	0	1	A person is pouring chocolate into a bowl.	Thumb is centered about in the middle of the bowl. Other hand is barely visible on top.	YouCook-video0008-shot2_4	1	0	0
917	0	0	1	A man in a grassy field throwing a Frisbee.	The only part of the red shirt that is visible is the edge of the sleeve.	MSR-VTT-videoTestVideo_video9876-shot1_0	2	0	1
918	0	0	1	A man holding a baseball bat in a grassy field.	The person in red is pulling the person on the ground up.  You can see the entire pitcher's mound in the back with the edge of it right near the top of the image. 	MSR-VTT-videoTestVideo_video9876-shot1_0	3	0	0
919	0	0	1	A man holding a baseball bat in a grassy field.	You can see the entire circle of dirt in the background but there is a bit of a gap between the top of it and the top of the image.  You can't see any of the person's face who is wearing red. 	MSR-VTT-videoTestVideo_video9876-shot1_0	4	0	0
925	0	0	1	A man that is standing next to a wheelbarrow.	The hat is falling down right at the waist of the man on the bicycle.	MSR-VTT-videoTestVideo_video8513-shot4_1	3	0	1
930	0	0	1	A man standing next to a woman in a wedding dress.	The bride is laying her hands on the grooms face. Her fingers are placed below his ear.	video-storytelling-videowedding_de8dLXvgV-I-shot139_0	0	0	0
931	0	0	1	A man and a woman standing next to each other.	The bride has her hand up high on the groom's neck up by his ear. The groom's left hand is a bit obscured so you can only really see his thumb. 	video-storytelling-videowedding_de8dLXvgV-I-shot139_0	1	0	1
936	1	0	1	A person wearing a hat with a penguin on it.	The top corner of the blue package ends just below the figure's left eye	video-storytelling-videobirthday__amwPjAcoC8-shot13_2	1	0	0
937	0	0	1	A person dressed up as a penguin with a hat on.	The eyes are horizontally aligned with the package but slightly blurry	video-storytelling-videobirthday__amwPjAcoC8-shot13_2	2	0	0
939	1	0	1	A group of people sitting at a table in front of a large crowd of people.	There is no bridesmaid or part of bridesmaid in the image.  The woman in left front with the white and black dress is looking towards the back.	video-storytelling-videowedding_Bp8t824h5NE-shot45_5	6	0	0
942	0	0	1	A person cutting a piece of cake on top of a plate.	Two hands are hovering above the meat with saran wrap covering the meat. 	YouCook-video0017-shot2_2	1	0	1
943	0	0	1	A person cutting up a cake on a table.	The man's left hand is flat against the pie while the right pushes the metal cutter down.	YouCook-video0017-shot2_2	2	1	0
944	1	0	1	A person holding a cat on a person's lap.	A hand and part of the cuff are visible reaching out towards the front of the cat	MSR-VTT-videoTestVideo_video9393-shot1_4	0	0	1
946	1	0	1	A group of people playing a game of ping pong.	Dog mascot has his left arm bent facing up and covering a little bit of eye	video-storytelling-videobirthday__amwPjAcoC8-shot15_0	7	0	0
949	0	0	1	A man riding a bike inside of a closet.	The man is still a ways back from the motorcycle.  He is blocking the back half of it.  His left arm is near his side and the right is out front and bent	MSR-VTT-videoTestVideo_video7737-shot0_0	4	0	1
950	0	0	1	A man standing next to a motorcycle in a room.	There's a motorcycle on his left, and only the bumper, no wheels, of a truck is visible.	MSR-VTT-videoTestVideo_video7737-shot0_0	5	0	0
954	0	0	1	A couple of boxes of food on a table.	The white sign in the basket  on the right is still visible with quite a bit of room on the top of the image and the top of the sign.  The basket on the left is still barely visible but the white sign in it is not visible. 	MSR-VTT-videoTestVideo_video9053-shot1_8	5	0	1
